Marca temporal,¿En qué departamento vives actualmente?,Qué edad tienes,¿Cuál es tu sexo?,¿Cuál es tu grado de instrucción?,¿Cuántos años de experiencia tienes en Desarrollo Web?,¿Cuál es tu situación laboral actual?,¿Estás en planilla?,¿Emites recibos por honorarios u otro comprobante de pago?,¿Estás en planilla?,¿Emites recibos por honorarios u otro comprobante de pago?,En tu trabajo actual ¿Tu función principal es desarrollo web?,¿Cuál es tu ingreso mensual bruto (antes de descuentos) en soles?,"Si comparas tu sueldo bruto actual con tu sueldo bruto hace doce meses, dirías que:",¿Qué sistema operativo usas principalmente para desarrollo web?,¿Qué herramientas para desarrolladores (developer tools) de tu navegador utilizas?,¿Cuantos años de experiencia tienes con...? [.NET],¿Cuantos años de experiencia tienes con...? [Go],¿Cuantos años de experiencia tienes con...? [Java],¿Cuantos años de experiencia tienes con...? [Node.js],¿Cuantos años de experiencia tienes con...? [PHP],¿Cuantos años de experiencia tienes con...? [Python],¿Cuantos años de experiencia tienes con...? [Ruby],¿Qué frameworks backend cononces?,¿Qué frameworks de JavaScript conoces?,¿Con qué pre/post procesadores has trabajado?,¿Con qué herramientas de automatizacion has trabajado?,¿Con qué bases de datos relacionales has trabajado?,¿Con qué bases de datos no relacionales has trabajado?,¿Con qué plataformas Cloud has trabajado?,¿A través de qué medios aprendes sobre desarrollo web?,¿Para qué sistemas operativos móviles has desarrollado aplicaciones?,Si desarrollas webapps móviles ¿Qué frameworks has utilizado para su desarrollo?
2018/01/01 10:37:38 a. m. GMT-5,Lima,24 - 30 años,Hombre,Estudiante de universidad,De 1 a 3 años,Trabajo como dependiente e independiente,Sí,Sí,,,Sí,De 2501 a 3500 soles,Es igual,GNU/Linux,Inspector / Elements / DOM Explorer;Consola;Depurador de JavaScript / Debugger;Modo de diseño responsivo / Device mode / Emulation / Responsive design mode;Rendimiento / Timeline / Performance;Inspector de almacenamiento / Resources / Storage;Inspector de memoria / Profiles / Memory,Menos de 1 año,No conozco,De 1 a 3 años,De 1 a 3 años,De 1 a 3 años,Menos de 1 año,Menos de 1 año,Laravel (PHP);Django (Python);Ruby on Rails;Zend Framework,jQuery;AngularJS;Vue.js,SASS;Pug,Gulp,MySQL;Microsoft SQL Server,MongoDB;Redis,Amazon Web Services;Google Cloud Platform,"Documentación en la web;Cursos en plataformas MOOC (gratuitos, masivos y con evaluaciones);Cursos en línea de plataformas de pago;En grupos de amigos o compañeros de trabajos / Meetups;Comunidades locales de desarrollo",Android,Ionic Framework
2018/01/01 1:37:12 p. m. GMT-5,Lambayeque,17 - 23 años,Hombre,Graduado de instituto,De 1 a 3 años,Trabajo como independiente,,,,Sí,No,Menos de 1500 soles,Ha disminuido,Microsoft Windows,Depurador de JavaScript / Debugger;Modo de diseño responsivo / Device mode / Emulation / Responsive design mode;Rendimiento / Timeline / Performance,De 1 a 3 años,No conozco,De 1 a 3 años,No conozco,De 1 a 3 años,Menos de 1 año,No conozco,Django (Python);Symfony (PHP);Play Framework (Java);Webpy (Python),jQuery;AngularJS;Backbone.js;Ember.js,LESS;Stylus;PostCSS,Grunt;WebPack,MySQL;Microsoft SQL Server;PostgreSQL,MongoDB;Apache Cassandra,Google Cloud Platform;Microsoft Azure,"Documentación en la web;Cursos en plataformas MOOC (gratuitos, masivos y con evaluaciones);En grupos de amigos o compañeros de trabajos / Meetups",Android;Webapps móviles (híbridas para cualquier plataforma),Apache Cordova;NativeScript
2018/01/01 1:40:20 p. m. GMT-5,Lima,31 - 40 años,Hombre,Graduado de universidad,De 1 a 3 años,Trabajo como independiente,,,,Sí,No,Menos de 1500 soles,Es igual,Microsoft Windows,Inspector / Elements / DOM Explorer;Consola,Menos de 1 año,No conozco,Menos de 1 año,Menos de 1 año,Menos de 1 año,Menos de 1 año,No conozco,Django (Python);Ruby on Rails;Symfony (PHP),jQuery;jQuery UI;AngularJS;Backbone.js,LESS;Stylus,WebPack,MySQL;Microsoft SQL Server,Apache Cassandra,Una nube privada (implementación a medida);Google Cloud Platform,"Documentación en la web;Cursos en plataformas MOOC (gratuitos, masivos y con evaluaciones);Libros, revistas y otras publicaciones impresas;Comunidades locales de desarrollo;Cursos de educación continua (fuera de planes de estudio superior)",Android,Phonegap
2018/01/01 3:19:35 p. m. GMT-5,Lima,24 - 30 años,Hombre,Estudiante de universidad,De 1 a 3 años,Trabajo como dependiente,,,Sí,,Sí,De 1501 a 2500 soles,Ha aumentado,Microsoft Windows,Inspector / Elements / DOM Explorer;Consola;Depurador de JavaScript / Debugger;Modo de diseño responsivo / Device mode / Emulation / Responsive design mode;Editor de estilos / Sources / Resources;Rendimiento / Timeline / Performance;Inspector de almacenamiento / Resources / Storage;Inspector de memoria / Profiles / Memory,No conozco,No conozco,Menos de 1 año,No conozco,De 1 a 3 años,Menos de 1 año,No conozco,Laravel (PHP);Django (Python),jQuery;AngularJS;Backbone.js;React,SASS;LESS;Stylus,Grunt;Gulp,MySQL,,Amazon Web Services,"Documentación en la web;Cursos en plataformas MOOC (gratuitos, masivos y con evaluaciones);Cursos en línea de plataformas de pago;En grupos de amigos o compañeros de trabajos / Meetups;Libros, revistas y otras publicaciones impresas",Webapps móviles (híbridas para cualquier plataforma),Ionic Framework
2018/01/01 4:25:24 p. m. GMT-5,Ayacucho,41 - 50 años,Hombre,Estudiante de universidad,De 6 a 10 años,Trabajo como dependiente,,,Sí,,No,Menos de 1500 soles,Es igual,Mac,Modo de diseño responsivo / Device mode / Emulation / Responsive design mode,Menos de 1 año,Menos de 1 año,Menos de 1 año,No conozco,Menos de 1 año,Menos de 1 año,Menos de 1 año,,,,,,,,,,
2018/01/01 5:55:45 p. m. GMT-5,Lima,31 - 40 años,Hombre,Graduado de instituto,Mayor a 10 años,Trabajo como dependiente,,,Sí,,Sí,De 3501 a 4500 soles,Es igual,GNU/Linux,Consola,No conozco,No conozco,Menos de 1 año,Menos de 1 año,Más de 6 años,De 1 a 3 años,No conozco,Laravel (PHP);CodeIgniter (PHP);Django (Python);Symfony (PHP),jQuery;jQuery UI;React,LESS;Stylus,WebPack,MySQL;PostgreSQL;Oracle Database,,Amazon Web Services,Documentación en la web;Cursos en línea de plataformas de pago,,
2018/01/01 7:42:25 p. m. GMT-5,Lima,17 - 23 años,Hombre,Graduado de instituto,Menos de 1 año,Trabajo como dependiente,,,Sí,,Sí,Menos de 1500 soles,Es igual,Microsoft Windows,Inspector / Elements / DOM Explorer;Consola;Depurador de JavaScript / Debugger;Editor de estilos / Sources / Resources,No conozco,No conozco,No conozco,No conozco,Menos de 1 año,No conozco,No conozco,Laravel (PHP),jQuery;Vue.js,,,MySQL,MongoDB,,Documentación en la web;Cursos en línea de plataformas de pago;Seminarios Web / Webinars,,
2018/01/01 8:55:00 p. m. GMT-5,Lima,31 - 40 años,Hombre,Estudiante de universidad,De 6 a 10 años,Trabajo como dependiente e independiente,Sí,No,,,No,De 5501 a más,Es igual,Microsoft Windows,Inspector / Elements / DOM Explorer;Consola,No conozco,No conozco,Menos de 1 año,No conozco,Más de 6 años,No conozco,Menos de 1 año,Laravel (PHP);CodeIgniter (PHP);Ruby on Rails;Zend Framework;Symfony (PHP),jQuery;jQuery UI,SASS,Grunt,MySQL;Microsoft SQL Server,Redis,Amazon Web Services;Google Cloud Platform,"Documentación en la web;Libros, revistas y otras publicaciones impresas",Webapps móviles (híbridas para cualquier plataforma),
2018/01/01 9:24:58 p. m. GMT-5,Callao,24 - 30 años,Hombre,Maestría,De 4 a 6 años,Trabajo como independiente,,,,Sí,Sí,De 2501 a 3500 soles,Ha aumentado,Mac,Inspector / Elements / DOM Explorer;Consola;Depurador de JavaScript / Debugger;Modo de diseño responsivo / Device mode / Emulation / Responsive design mode;Inspector de almacenamiento / Resources / Storage,Menos de 1 año,Menos de 1 año,No conozco,De 1 a 3 años,De 1 a 3 años,Menos de 1 año,Menos de 1 año,CodeIgniter (PHP);Django (Python);Ruby on Rails;Zend Framework;Symfony (PHP),jQuery;AngularJS,SASS;LESS,Gulp,MySQL,MongoDB;CouchDB,Una nube privada (implementación a medida),"Documentación en la web;Cursos en plataformas MOOC (gratuitos, masivos y con evaluaciones);Cursos en línea de plataformas de pago",Webapps móviles (híbridas para cualquier plataforma),Ionic Framework
2018/01/01 9:35:52 p. m. GMT-5,Lima,17 - 23 años,Hombre,Graduado de universidad,Menos de 1 año,Trabajo como dependiente,,,Sí,,No,Menos de 1500 soles,Es igual,Microsoft Windows,Inspector / Elements / DOM Explorer;Inspector de almacenamiento / Resources / Storage,No conozco,No conozco,De 1 a 3 años,De 1 a 3 años,De 1 a 3 años,Menos de 1 año,No conozco,Laravel (PHP),jQuery;AngularJS,SASS,Grunt,MySQL;Microsoft SQL Server;Oracle Database,Apache Cassandra,IBM Cloud,Cursos de educación continua (fuera de planes de estudio superior),Android,Phonegap
2018/01/01 11:52:45 p. m. GMT-5,Ica,24 - 30 años,Hombre,Estudiante de universidad,De 1 a 3 años,No trabajo actualmente,,,,,,,Ha disminuido,Microsoft Windows,Modo de diseño responsivo / Device mode / Emulation / Responsive design mode;Editor de estilos / Sources / Resources;Inspector de memoria / Profiles / Memory,De 4 a 6 años,No conozco,De 1 a 3 años,Menos de 1 año,De 1 a 3 años,No conozco,No conozco,Sublime ,jQuery;jQuery UI,SASS,,PostgreSQL,,Microsoft Azure,"Documentación en la web;Cursos en plataformas MOOC (gratuitos, masivos y con evaluaciones);Comunidades locales de desarrollo;Seminarios Web / Webinars",Android,Android Studio 
2018/01/02 12:10:30 a. m. GMT-5,Lima,17 - 23 años,Hombre,Graduado de universidad,Menos de 1 año,Trabajo como independiente,,,,Sí,No,Menos de 1500 soles,Ha disminuido,Microsoft Windows,Consola;Modo de diseño responsivo / Device mode / Emulation / Responsive design mode;Editor de estilos / Sources / Resources,De 1 a 3 años,No conozco,Menos de 1 año,No conozco,Menos de 1 año,Menos de 1 año,No conozco,Laravel (PHP);Django (Python);Spring Boot (Java),jQuery;AngularJS,,,MySQL;Microsoft SQL Server,MongoDB,Microsoft Azure,"Documentación en la web;Cursos en plataformas MOOC (gratuitos, masivos y con evaluaciones);Cursos en línea de plataformas de pago;En la universidad o instituto",Android,
2018/01/02 12:39:28 a. m. GMT-5,Lima,31 - 40 años,Hombre,Graduado de instituto,De 6 a 10 años,Trabajo como independiente,,,,Sí,Sí,De 1501 a 2500 soles,Ha aumentado,Microsoft Windows,Inspector / Elements / DOM Explorer;Consola;Modo de diseño responsivo / Device mode / Emulation / Responsive design mode;Editor de estilos / Sources / Resources;Inspector de almacenamiento / Resources / Storage,No conozco,No conozco,Menos de 1 año,No conozco,Más de 6 años,No conozco,No conozco,Laravel (PHP),jQuery,SASS;LESS;Stylus,Gulp,MySQL,,Amazon Web Services;Una nube privada (implementación a medida),"Documentación en la web;Cursos en plataformas MOOC (gratuitos, masivos y con evaluaciones);Cursos en línea de plataformas de pago;En grupos de amigos o compañeros de trabajos / Meetups;Comunidades locales de desarrollo;Seminarios Web / Webinars",,
2018/01/02 3:09:00 a. m. GMT-5,Lambayeque,24 - 30 años,Hombre,Graduado de universidad,Menos de 1 año,Trabajo como dependiente,,,Sí,,No,Menos de 1500 soles,Ha aumentado,Microsoft Windows,Inspector / Elements / DOM Explorer;Consola;Depurador de JavaScript / Debugger;Modo de diseño responsivo / Device mode / Emulation / Responsive design mode;Editor de estilos / Sources / Resources,No conozco,No conozco,Menos de 1 año,No conozco,Menos de 1 año,No conozco,No conozco,Laravel (PHP);CodeIgniter (PHP);Spring Boot (Java),jQuery;jQuery UI,,,MySQL;PostgreSQL;Oracle Database,MongoDB;Redis;Apache Cassandra;CouchDB,,"Documentación en la web;En grupos de amigos o compañeros de trabajos / Meetups;Libros, revistas y otras publicaciones impresas;En la universidad o instituto;Comunidades locales de desarrollo;Cursos de educación continua (fuera de planes de estudio superior);Seminarios Web / Webinars",Android,
2018/01/02 12:55:49 p. m. GMT-5,Lima,17 - 23 años,Hombre,Estudiante de universidad,De 1 a 3 años,Trabajo como dependiente e independiente,Sí,Sí,,,Sí,Menos de 1500 soles,Es igual,GNU/Linux,Inspector / Elements / DOM Explorer;Consola;Depurador de JavaScript / Debugger;Modo de diseño responsivo / Device mode / Emulation / Responsive design mode;Editor de estilos / Sources / Resources,No conozco,No conozco,De 1 a 3 años,No conozco,No conozco,De 4 a 6 años,No conozco,Laravel (PHP);Django (Python);Ruby on Rails;Spring Boot (Java);Flask (Python);Bottle (Python),jQuery;jQuery UI,,,MySQL;PostgreSQL,MongoDB,Amazon Web Services;Una nube privada (implementación a medida),"Documentación en la web;Cursos en línea de plataformas de pago;Libros, revistas y otras publicaciones impresas;Comunidades locales de desarrollo;Cursos de educación continua (fuera de planes de estudio superior)",Android;iOS,Reac Native
2018/01/02 1:08:26 p. m. GMT-5,Lima,31 - 40 años,Hombre,Estudiante de universidad,Mayor a 10 años,Trabajo como dependiente,,,Sí,,Sí,De 5501 a más,Ha aumentado,Mac,Inspector / Elements / DOM Explorer;Consola;Depurador de JavaScript / Debugger;Modo de diseño responsivo / Device mode / Emulation / Responsive design mode;Inspector de almacenamiento / Resources / Storage,No conozco,Menos de 1 año,Menos de 1 año,Más de 6 años,Más de 6 años,De 1 a 3 años,Menos de 1 año,Hapi,jQuery;Backbone.js;React;D3.js,SASS;LESS,Grunt;Gulp;WebPack,MySQL;Microsoft SQL Server;PostgreSQL,MongoDB;Redis;CouchDB,Amazon Web Services;Google Cloud Platform,"Documentación en la web;Cursos en plataformas MOOC (gratuitos, masivos y con evaluaciones);Cursos en línea de plataformas de pago;En grupos de amigos o compañeros de trabajos / Meetups;Libros, revistas y otras publicaciones impresas;Comunidades locales de desarrollo",Webapps móviles (híbridas para cualquier plataforma),Reac Native
2018/01/02 3:29:37 p. m. GMT-5,Lima,24 - 30 años,Mujer,Graduado de universidad,Menos de 1 año,Trabajo como dependiente,,,Sí,,Sí,De 1501 a 2500 soles,Ha aumentado,GNU/Linux,Inspector / Elements / DOM Explorer;Consola;Depurador de JavaScript / Debugger;Modo de diseño responsivo / Device mode / Emulation / Responsive design mode,No conozco,No conozco,No conozco,Menos de 1 año,No conozco,No conozco,No conozco,,jQuery;React,SASS,Gulp;WebPack,,,,"Cursos en plataformas MOOC (gratuitos, masivos y con evaluaciones);Cursos en línea de plataformas de pago;Comunidades locales de desarrollo;Cursos de educación continua (fuera de planes de estudio superior)",Android,
2018/01/02 3:32:59 p. m. GMT-5,Lima,24 - 30 años,Hombre,Estudiantes de instituto,De 1 a 3 años,Trabajo como independiente,,,,Sí,Sí,De 1501 a 2500 soles,Ha aumentado,Microsoft Windows,Inspector / Elements / DOM Explorer,No conozco,No conozco,Menos de 1 año,De 1 a 3 años,De 1 a 3 años,Menos de 1 año,No conozco,Laravel (PHP);Zend Framework,jQuery;jQuery UI;Backbone.js;React;Vue.js,SASS;LESS;Stylus;Pug;CoffeeScript;PostCSS,Grunt;Gulp;WebPack,MySQL;Microsoft SQL Server;PostgreSQL,MongoDB,Google Cloud Platform,Documentación en la web;Cursos en línea de plataformas de pago;Comunidades locales de desarrollo,,
2018/01/02 5:41:12 p. m. GMT-5,Callao,31 - 40 años,Mujer,Graduado de universidad,Mayor a 10 años,Trabajo como dependiente e independiente,No,Sí,,,No,De 5501 a más,Ha aumentado,Mac,Inspector / Elements / DOM Explorer;Consola;Depurador de JavaScript / Debugger;Modo de diseño responsivo / Device mode / Emulation / Responsive design mode;Rendimiento / Timeline / Performance,De 1 a 3 años,Menos de 1 año,De 1 a 3 años,De 1 a 3 años,De 1 a 3 años,De 1 a 3 años,Más de 6 años,Ruby on Rails;Sinatra (Ruby);Cuba (Ruby),jQuery;jQuery UI;Backbone.js;React,SASS;LESS;Stylus;CoffeeScript,Grunt;Gulp;WebPack,MySQL;PostgreSQL,MongoDB;Redis,Amazon Web Services;Una nube privada (implementación a medida);Google Cloud Platform,"Documentación en la web;Cursos en plataformas MOOC (gratuitos, masivos y con evaluaciones);Cursos en línea de plataformas de pago;En grupos de amigos o compañeros de trabajos / Meetups;Libros, revistas y otras publicaciones impresas;Comunidades locales de desarrollo;Seminarios Web / Webinars",Webapps móviles (híbridas para cualquier plataforma);iOS,Reac Native
2018/01/02 9:48:11 p. m. GMT-5,Junín,24 - 30 años,Hombre,Graduado de universidad,De 4 a 6 años,Trabajo como dependiente e independiente,No,Sí,,,Sí,De 4501 a 5500 soles,Ha aumentado,GNU/Linux,Inspector / Elements / DOM Explorer;Consola;Depurador de JavaScript / Debugger;Modo de diseño responsivo / Device mode / Emulation / Responsive design mode,Menos de 1 año,Menos de 1 año,De 1 a 3 años,De 1 a 3 años,De 4 a 6 años,De 4 a 6 años,Menos de 1 año,Django (Python);Play Framework (Java);Flask (Python);Sinatra (Ruby),jQuery;jQuery UI;AngularJS;Sencha,LESS,Gulp,MySQL;PostgreSQL,MongoDB;Redis,Amazon Web Services;Google Cloud Platform;IBM Cloud,Documentación en la web;Cursos de educación continua (fuera de planes de estudio superior),Webapps móviles (híbridas para cualquier plataforma),Ionic Framework
2018/01/03 12:57:46 a. m. GMT-5,Lima,31 - 40 años,Hombre,Graduado de universidad,De 1 a 3 años,Trabajo como dependiente e independiente,No,Sí,,,Sí,De 2501 a 3500 soles,Ha aumentado,Microsoft Windows,Consola;Rendimiento / Timeline / Performance;Inspector de almacenamiento / Resources / Storage,No conozco,No conozco,No conozco,Menos de 1 año,De 1 a 3 años,Menos de 1 año,No conozco,Laravel (PHP);CodeIgniter (PHP),jQuery;jQuery UI;Vue.js,,WebPack,MySQL;Microsoft SQL Server;PostgreSQL,MongoDB,Una nube privada (implementación a medida),"Documentación en la web;Cursos en plataformas MOOC (gratuitos, masivos y con evaluaciones);Cursos en línea de plataformas de pago;En la universidad o instituto",,
2018/01/03 8:09:14 a. m. GMT-5,Lima,31 - 40 años,Prefiero no decirlo,Estudiante de universidad,Mayor a 10 años,Trabajo como dependiente e independiente,Sí,Sí,,,No,De 5501 a más,Ha aumentado,Mac,Inspector / Elements / DOM Explorer,No conozco,No conozco,No conozco,No conozco,No conozco,No conozco,No conozco,,jQuery,,,,,,"Documentación en la web;Libros, revistas y otras publicaciones impresas",,
2018/01/03 8:59:24 a. m. GMT-5,Lima,24 - 30 años,Mujer,Graduado de universidad,De 6 a 10 años,Trabajo como dependiente e independiente,Sí,Sí,,,Sí,De 5501 a más,Ha aumentado,Mac,Inspector / Elements / DOM Explorer;Consola;Depurador de JavaScript / Debugger;Modo de diseño responsivo / Device mode / Emulation / Responsive design mode;Editor de estilos / Sources / Resources;Rendimiento / Timeline / Performance;Inspector de almacenamiento / Resources / Storage;Inspector de memoria / Profiles / Memory,De 1 a 3 años,No conozco,De 1 a 3 años,Menos de 1 año,De 1 a 3 años,No conozco,Menos de 1 año,CodeIgniter (PHP);Ruby on Rails,jQuery;jQuery UI;AngularJS;React;Sencha,SASS,Grunt;Gulp;WebPack,MySQL;Microsoft SQL Server,MongoDB;CouchDB,Amazon Web Services;Una nube privada (implementación a medida);Microsoft Azure,"Documentación en la web;Cursos en plataformas MOOC (gratuitos, masivos y con evaluaciones);Cursos en línea de plataformas de pago;Libros, revistas y otras publicaciones impresas;Cursos de educación continua (fuera de planes de estudio superior)",Android;Webapps móviles (híbridas para cualquier plataforma);iOS;Blackberry,Apache Cordova;Phonegap;Reac Native
2018/01/03 7:42:53 p. m. GMT-5,Lima,31 - 40 años,Hombre,Graduado de universidad,De 6 a 10 años,Trabajo como dependiente,,,Sí,,Sí,De 4501 a 5500 soles,Ha aumentado,Microsoft Windows,Inspector / Elements / DOM Explorer;Consola;Depurador de JavaScript / Debugger;Modo de diseño responsivo / Device mode / Emulation / Responsive design mode;Editor de estilos / Sources / Resources;Rendimiento / Timeline / Performance;Inspector de almacenamiento / Resources / Storage;Inspector de memoria / Profiles / Memory,Más de 6 años,Menos de 1 año,Más de 6 años,De 1 a 3 años,Más de 6 años,De 1 a 3 años,De 1 a 3 años,Laravel (PHP);CodeIgniter (PHP);Django (Python);Ruby on Rails;Zend Framework;Symfony (PHP);Spring Boot (Java);Webpy (Python);,jQuery;jQuery UI;AngularJS;Backbone.js;React;Ember.js;Vue.js;Framework7;Sencha;Kendo,SASS;CoffeeScript;PUG,Grunt;Gulp;WebPack;Maven,MySQL;Microsoft SQL Server;PostgreSQL;Oracle Database;MariaDB,MongoDB,Amazon Web Services;Una nube privada (implementación a medida);Google Cloud Platform;Microsoft Azure;Digital Ocean,"Documentación en la web;Cursos en plataformas MOOC (gratuitos, masivos y con evaluaciones);Cursos en línea de plataformas de pago;En grupos de amigos o compañeros de trabajos / Meetups;Libros, revistas y otras publicaciones impresas;En la universidad o instituto;Comunidades locales de desarrollo;Cursos de educación continua (fuera de planes de estudio superior);Seminarios Web / Webinars;YouTube",Android;Webapps móviles (híbridas para cualquier plataforma);iOS,Ionic Framework;Apache Cordova;Phonegap;Reac Native;NativeScript;Kony Framework
2018/01/04 12:15:19 p. m. GMT-5,Lima,31 - 40 años,Hombre,Graduado de universidad,Mayor a 10 años,Trabajo como dependiente e independiente,Sí,Sí,,,Sí,De 5501 a más,Ha aumentado,Microsoft Windows,Inspector / Elements / DOM Explorer;Consola;Depurador de JavaScript / Debugger,Más de 6 años,No conozco,Más de 6 años,De 4 a 6 años,De 1 a 3 años,De 1 a 3 años,De 1 a 3 años,Laravel (PHP);CodeIgniter (PHP);Django (Python);Ruby on Rails;Zend Framework;Symfony (PHP);Spring Boot (Java),jQuery;jQuery UI;AngularJS;Backbone.js;React;Ember.js;Vue.js;Kendo,SASS;LESS,Grunt;Gulp;WebPack,MySQL;Microsoft SQL Server;PostgreSQL;Oracle Database,MongoDB;Redis;CouchDB,Amazon Web Services;Microsoft Azure,"Documentación en la web;Cursos en plataformas MOOC (gratuitos, masivos y con evaluaciones);Cursos en línea de plataformas de pago;En grupos de amigos o compañeros de trabajos / Meetups;Libros, revistas y otras publicaciones impresas;En la universidad o instituto;Comunidades locales de desarrollo;Cursos de educación continua (fuera de planes de estudio superior);Seminarios Web / Webinars",Webapps móviles (híbridas para cualquier plataforma),Apache Cordova;Phonegap;Reac Native
2018/01/05 10:45:18 a. m. GMT-5,Áncash,31 - 40 años,Hombre,Graduado de universidad,De 6 a 10 años,Trabajo como dependiente e independiente,Sí,Sí,,,Sí,De 2501 a 3500 soles,Es igual,GNU/Linux,Modo de diseño responsivo / Device mode / Emulation / Responsive design mode;Editor de estilos / Sources / Resources,De 1 a 3 años,No conozco,De 1 a 3 años,De 4 a 6 años,De 4 a 6 años,No conozco,No conozco,Laravel (PHP);Zend Framework;Symfony (PHP),jQuery;jQuery UI,LESS;Stylus,WebPack,MySQL;Microsoft SQL Server,MySQL;MariaDB,Una nube privada (implementación a medida);Microsoft Azure,"Documentación en la web;Cursos en plataformas MOOC (gratuitos, masivos y con evaluaciones);Cursos en línea de plataformas de pago;Libros, revistas y otras publicaciones impresas;En la universidad o instituto;Cursos de educación continua (fuera de planes de estudio superior)",Webapps móviles (híbridas para cualquier plataforma),NativeScript
2018/01/05 10:45:18 a. m. GMT-5,Áncash,31 - 40 años,Hombre,Graduado de universidad,De 6 a 10 años,Trabajo como dependiente e independiente,Sí,Sí,,,Sí,De 2501 a 3500 soles,Es igual,GNU/Linux,Modo de diseño responsivo / Device mode / Emulation / Responsive design mode;Editor de estilos / Sources / Resources,De 1 a 3 años,No conozco,De 1 a 3 años,De 4 a 6 años,De 4 a 6 años,No conozco,No conozco,Laravel (PHP);Zend Framework;Symfony (PHP),jQuery;jQuery UI,LESS;Stylus,WebPack,MySQL;Microsoft SQL Server,MySQL;MariaDB,Una nube privada (implementación a medida);Microsoft Azure,"Documentación en la web;Cursos en plataformas MOOC (gratuitos, masivos y con evaluaciones);Cursos en línea de plataformas de pago;Libros, revistas y otras publicaciones impresas;En la universidad o instituto;Cursos de educación continua (fuera de planes de estudio superior)",Webapps móviles (híbridas para cualquier plataforma),NativeScript
2018/01/05 10:47:00 a. m. GMT-5,Lima,24 - 30 años,Hombre,Graduado de instituto,De 4 a 6 años,Trabajo como dependiente,,,Sí,,Sí,De 1501 a 2500 soles,Es igual,Microsoft Windows,Consola,De 1 a 3 años,No conozco,De 1 a 3 años,No conozco,Menos de 1 año,No conozco,No conozco,Spring Boot (Java),jQuery;jQuery UI;Sencha;Kendo,,,MySQL;Microsoft SQL Server;PostgreSQL;Oracle Database,,Amazon Web Services,Documentación en la web;Seminarios Web / Webinars,Android,
2018/01/05 10:47:25 a. m. GMT-5,Lima,24 - 30 años,Hombre,Estudiante de universidad,De 4 a 6 años,Trabajo como dependiente e independiente,No,No,,,Sí,Menos de 1500 soles,Ha aumentado,Microsoft Windows,Inspector / Elements / DOM Explorer;Consola,No conozco,No conozco,Menos de 1 año,No conozco,De 4 a 6 años,No conozco,No conozco,Laravel (PHP);CodeIgniter (PHP);Symfony (PHP),jQuery;jQuery UI;AngularJS;Vue.js;AngularJS,SASS;Stylus;Pug,Gulp;WebPack,MySQL;Microsoft SQL Server;PostgreSQL;Oracle Database,MongoDB,,"Documentación en la web;Cursos en plataformas MOOC (gratuitos, masivos y con evaluaciones);Cursos en línea de plataformas de pago;Seminarios Web / Webinars",Webapps móviles (híbridas para cualquier plataforma),Ionic Framework
2018/01/05 10:48:18 a. m. GMT-5,Cusco,31 - 40 años,Hombre,Graduado de universidad,De 6 a 10 años,Trabajo como independiente,,,,Sí,Sí,Menos de 1500 soles,Ha disminuido,GNU/Linux,Inspector / Elements / DOM Explorer;Consola;Modo de diseño responsivo / Device mode / Emulation / Responsive design mode;Rendimiento / Timeline / Performance,De 1 a 3 años,No conozco,Menos de 1 año,No conozco,De 4 a 6 años,No conozco,No conozco,Laravel (PHP);Yii (PHP),jQuery,SASS,Grunt;WebPack,MySQL;Microsoft SQL Server;PostgreSQL,MongoDB,Amazon Web Services;Heroku,"Documentación en la web;Cursos en línea de plataformas de pago;Libros, revistas y otras publicaciones impresas;En la universidad o instituto;Seminarios Web / Webinars",,
2018/01/05 10:48:53 a. m. GMT-5,Áncash,24 - 30 años,Hombre,Graduado de universidad,De 1 a 3 años,No trabajo actualmente,,,,,,,Ha disminuido,Microsoft Windows,Inspector / Elements / DOM Explorer;Consola,No conozco,No conozco,Menos de 1 año,No conozco,De 1 a 3 años,No conozco,No conozco,,jQuery;jQuery UI,,,MySQL,,,Cursos en línea de plataformas de pago,,
2018/01/05 10:54:44 a. m. GMT-5,Piura,24 - 30 años,Hombre,Estudiante de universidad,De 1 a 3 años,Trabajo como independiente,,,,Sí,Sí,De 1501 a 2500 soles,Ha aumentado,GNU/Linux,Inspector / Elements / DOM Explorer;Consola;Rendimiento / Timeline / Performance;Inspector de almacenamiento / Resources / Storage,Menos de 1 año,No conozco,De 1 a 3 años,Menos de 1 año,De 4 a 6 años,Menos de 1 año,Menos de 1 año,CodeIgniter (PHP);Zend Framework,jQuery;AngularJS,,,MySQL;Microsoft SQL Server,MongoDB,Una nube privada (implementación a medida);Google Cloud Platform,"Documentación en la web;Cursos en plataformas MOOC (gratuitos, masivos y con evaluaciones);Cursos en línea de plataformas de pago;En grupos de amigos o compañeros de trabajos / Meetups",,
2018/01/05 10:56:07 a. m. GMT-5,Lima,24 - 30 años,Hombre,Graduado de universidad,Menos de 1 año,Trabajo como dependiente,,,Sí,,Sí,De 3501 a 4500 soles,Ha aumentado,Microsoft Windows,Inspector / Elements / DOM Explorer;Consola;Editor de estilos / Sources / Resources;Rendimiento / Timeline / Performance;Inspector de almacenamiento / Resources / Storage,De 1 a 3 años,No conozco,No conozco,No conozco,No conozco,No conozco,No conozco,"ASP.NET, ASP.NET Core",AngularJS;Kendo,SASS,Gulp,MySQL;Microsoft SQL Server;Oracle Database,MongoDB,Amazon Web Services;Una nube privada (implementación a medida),Documentación en la web,Webapps móviles (híbridas para cualquier plataforma),
