Marca temporal,¿En qué departamento vives actualmente?,Qué edad tienes,¿Cuál es tu sexo?,¿Cuál es tu grado de instrucción?,¿Cuántos años de experiencia tienes en Desarrollo Web?,¿Cuál es tu situación laboral actual?,¿Estás en planilla?,¿Emites recibos por honorarios u otro comprobante de pago?,¿Estás en planilla?,¿Emites recibos por honorarios u otro comprobante de pago?,En tu trabajo actual ¿Tu función principal es desarrollo web?,¿Cuál es tu ingreso mensual bruto (antes de descuentos) en soles?,"Si comparas tu sueldo bruto actual con tu sueldo bruto hace doce meses, dirías que:",¿Qué sistema operativo usas principalmente para desarrollo web?,¿Qué herramientas para desarrolladores (developer tools) de tu navegador utilizas?,¿Cuantos años de experiencia tienes con...? [.NET],¿Cuantos años de experiencia tienes con...? [Go],¿Cuantos años de experiencia tienes con...? [Java],¿Cuantos años de experiencia tienes con...? [Node.js],¿Cuantos años de experiencia tienes con...? [PHP],¿Cuantos años de experiencia tienes con...? [Python],¿Cuantos años de experiencia tienes con...? [Ruby],¿Qué frameworks backend cononces?,¿Qué frameworks de JavaScript conoces?,¿Con qué pre/post procesadores has trabajado?,¿Con qué herramientas de automatizacion has trabajado?,¿Con qué bases de datos relacionales has trabajado?,¿Con qué bases de datos no relacionales has trabajado?,¿Con qué plataformas Cloud has trabajado?,¿A través de qué medios aprendes sobre desarrollo web?,¿Para qué sistemas operativos móviles has desarrollado aplicaciones?,Si desarrollas webapps móviles ¿Qué frameworks has utilizado para su desarrollo?
2017/12/28 10:59:19 a. m. GMT-5,Lima,17 - 23 años,Hombre,Estudiante de universidad,Menos de 1 año,No trabajo actualmente,,,,,,,Es igual,Microsoft Windows,Consola,No conozco,No conozco,Menos de 1 año,No conozco,Menos de 1 año,No conozco,No conozco,Laravel (PHP);Django (Python);Ruby on Rails,jQuery;AngularJS,,,MySQL,,,"Cursos en plataformas MOOC (gratuitos, masivos y con evaluaciones);Cursos en línea de plataformas de pago;Libros, revistas y otras publicaciones impresas",,Apache Cordova
2017/12/28 11:42:53 a. m. GMT-5,Áncash,17 - 23 años,Hombre,Estudiante de universidad,Menos de 1 año,No trabajo actualmente,,,,,,,Es igual,Microsoft Windows,Editor de estilos / Sources / Resources,Menos de 1 año,No conozco,Menos de 1 año,Menos de 1 año,Menos de 1 año,No conozco,Menos de 1 año,Laravel (PHP);Ruby on Rails,jQuery;Sencha,SASS,Grunt,MySQL;Microsoft SQL Server;PostgreSQL;Oracle Database,,Amazon Web Services,"Documentación en la web;Cursos en plataformas MOOC (gratuitos, masivos y con evaluaciones);Libros, revistas y otras publicaciones impresas;Seminarios Web / Webinars",Android;Webapps móviles (híbridas para cualquier plataforma),Ionic Framework
2017/12/28 11:45:43 a. m. GMT-5,Lima,24 - 30 años,Hombre,Graduado de universidad,Mayor a 10 años,Trabajo como dependiente,,,Sí,,Sí,De 5501 a más,Es igual,Mac,Inspector / Elements / DOM Explorer;Consola;Inspector de almacenamiento / Resources / Storage,De 1 a 3 años,No conozco,De 1 a 3 años,De 4 a 6 años,De 1 a 3 años,Menos de 1 año,Más de 6 años,Ruby on Rails;Sinatra (Ruby);Cuba (Ruby);Express (Node.js),jQuery;jQuery UI;Backbone.js;React;Preact,SASS;CoffeeScript;PostCSS,Grunt;Gulp;WebPack,MySQL;Microsoft SQL Server;PostgreSQL,MongoDB;Redis,Amazon Web Services;Heroku,"Documentación en la web;Libros, revistas y otras publicaciones impresas;En la universidad o instituto",Android;Webapps móviles (híbridas para cualquier plataforma),Apache Cordova;Phonegap
2017/12/28 12:03:03 p. m. GMT-5,Tacna,24 - 30 años,Hombre,Graduado de universidad,De 4 a 6 años,Trabajo como dependiente e independiente,No,Sí,,,Sí,De 1501 a 2500 soles,Es igual,Microsoft Windows,Inspector / Elements / DOM Explorer;Consola;Modo de diseño responsivo / Device mode / Emulation / Responsive design mode;Editor de estilos / Sources / Resources,Menos de 1 año,No conozco,Menos de 1 año,Menos de 1 año,Más de 6 años,De 1 a 3 años,De 1 a 3 años,Laravel (PHP);CodeIgniter (PHP);Django (Python);Ruby on Rails;Symfony (PHP),jQuery;jQuery UI;Backbone.js,SASS;LESS,WebPack,MySQL;PostgreSQL,MongoDB,Una nube privada (implementación a medida);Google Cloud Platform,"Documentación en la web;Cursos en plataformas MOOC (gratuitos, masivos y con evaluaciones);Cursos en línea de plataformas de pago",Android;Webapps móviles (híbridas para cualquier plataforma),
2017/12/28 12:28:39 p. m. GMT-5,Lima,24 - 30 años,Hombre,Estudiante de universidad,De 1 a 3 años,Trabajo como dependiente,,,No,,No,De 1501 a 2500 soles,Es igual,Microsoft Windows,Depurador de JavaScript / Debugger,De 1 a 3 años,No conozco,Menos de 1 año,Menos de 1 año,Menos de 1 año,No conozco,No conozco,,jQuery;jQuery UI;AngularJS;Kendo,,,MySQL;Microsoft SQL Server,,Microsoft Azure,"Documentación en la web;Cursos en plataformas MOOC (gratuitos, masivos y con evaluaciones);En la universidad o instituto;Seminarios Web / Webinars",Android,
2017/12/28 1:19:43 p. m. GMT-5,Huánuco,17 - 23 años,Hombre,Estudiante de universidad,De 4 a 6 años,No trabajo actualmente,,,,,,,Es igual,Microsoft Windows,Inspector / Elements / DOM Explorer;Consola;Editor de estilos / Sources / Resources,De 1 a 3 años,No conozco,De 4 a 6 años,Menos de 1 año,De 1 a 3 años,Menos de 1 año,Menos de 1 año,Laravel (PHP);CodeIgniter (PHP);Django (Python);Ruby on Rails;Symfony (PHP);Spring Boot (Java);Sinatra (Ruby);Cuba (Ruby),jQuery;jQuery UI;AngularJS;Backbone.js;React;Kendo,SASS;LESS;Stylus,,MySQL;Microsoft SQL Server;PostgreSQL;Oracle Database,MongoDB;Apache Cassandra,Google Cloud Platform;Microsoft Azure,"Documentación en la web;Cursos en plataformas MOOC (gratuitos, masivos y con evaluaciones);Libros, revistas y otras publicaciones impresas;Seminarios Web / Webinars",Android,Phonegap
2017/12/28 1:29:12 p. m. GMT-5,Tacna,24 - 30 años,Mujer,Graduado de universidad,Menos de 1 año,No trabajo actualmente,,,,,,,Ha aumentado,Microsoft Windows,Modo de diseño responsivo / Device mode / Emulation / Responsive design mode,De 1 a 3 años,No conozco,Menos de 1 año,Menos de 1 año,De 1 a 3 años,Menos de 1 año,No conozco,Laravel (PHP);CodeIgniter (PHP),jQuery;jQuery UI;AngularJS,Stylus,Grunt,MySQL;Microsoft SQL Server,MongoDB,Una nube privada (implementación a medida),Documentación en la web;En grupos de amigos o compañeros de trabajos / Meetups;Seminarios Web / Webinars,Android,NativeScript
2017/12/28 1:37:11 p. m. GMT-5,Lima,31 - 40 años,Hombre,Graduado de universidad,Mayor a 10 años,Trabajo como dependiente e independiente,Sí,Sí,,,Sí,De 1501 a 2500 soles,Ha aumentado,GNU/Linux,Inspector / Elements / DOM Explorer;Depurador de JavaScript / Debugger;Modo de diseño responsivo / Device mode / Emulation / Responsive design mode;Rendimiento / Timeline / Performance,No conozco,No conozco,Menos de 1 año,Menos de 1 año,Más de 6 años,No conozco,No conozco,,jQuery;jQuery UI,,,MySQL;Microsoft SQL Server,,,Documentación en la web;En grupos de amigos o compañeros de trabajos / Meetups;En la universidad o instituto,Android,
2017/12/28 2:06:29 p. m. GMT-5,Lima,17 - 23 años,Hombre,Graduado de universidad,De 1 a 3 años,Trabajo como dependiente,,,Sí,,Sí,De 2501 a 3500 soles,Ha aumentado,GNU/Linux,Inspector / Elements / DOM Explorer;Consola;Depurador de JavaScript / Debugger,Menos de 1 año,No conozco,Menos de 1 año,No conozco,De 1 a 3 años,Menos de 1 año,No conozco,Laravel (PHP);Django (Python);Zend Framework,jQuery;AngularJS,SASS;LESS;Stylus,Grunt;Gulp;WebPack,MySQL;Microsoft SQL Server;PostgreSQL,MongoDB,Amazon Web Services,Documentación en la web;En grupos de amigos o compañeros de trabajos / Meetups;Seminarios Web / Webinars,Android,
2017/12/28 2:06:38 p. m. GMT-5,Lambayeque,31 - 40 años,Hombre,Graduado de universidad,De 1 a 3 años,Trabajo como dependiente,,,No,,Sí,De 4501 a 5500 soles,Ha aumentado,Microsoft Windows,Depurador de JavaScript / Debugger,No conozco,No conozco,De 1 a 3 años,No conozco,No conozco,No conozco,No conozco,Spring Boot (Java),jQuery;Dojo,,,Oracle Database,MongoDB;Redis;Apache Cassandra;CouchDB,,"Documentación en la web;Cursos en plataformas MOOC (gratuitos, masivos y con evaluaciones);En grupos de amigos o compañeros de trabajos / Meetups;Cursos de educación continua (fuera de planes de estudio superior)",,
