,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,Región en la que vives actualmente,Grado de instrucción,Edad,Género,Situación laboral,"En tu trabajo actual, ¿tu función principal es desarrollo web?",¿Cuál es tu ingreso mensual BRUTO (antes de descuentos) en soles?,¿Qué sistema operativo usas principalmente para desarrollo web?,Other,ASP.NET,Java,node.js / io.js,PHP,Python,Ruby,Play Framework (Java),Laravel (PHP),Symfony2 (PHP),Zend Framework (PHP),Bottle (Python),Django (Python),Flask (Python),webpy (Python),Cuba (Ruby),Ruby on Rails,Sinatra (Ruby),AJAX,CSS,Flash/ActionScript,HTML,JavaScript,AngularJS,backbone.js,backbone.js + chaplin.js,backbone.marionette.js,backbone.js + Thorax,D3.js,dojo,ember.js,jQuery,jQuery UI,React,Zepto.js,Other,En la universidad o instituto,Cursos de educación continua (fuera de los planes de estudio superiores),"Libros, revistas y otras publicaciones impresas",Documentación en la web,Seminarios web,"Cursos en plataformas MOOC (gratuitos, masivos y con evaluaciones)","Cursos en línea, en plataformas de pago",En grupos de amigos o compañeros de trabajo,Comunidades locales de desarrolladores,Other,¿Haces desarrollos para plataformas móviles? ¿Para cuáles?,Start Date (UTC),Submit Date (UTC),Network ID
390604bc6f649ba51ef17555187ef19c,Lima,Graduado de universidad,17 - 23 años,Masculino,Trabajo como dependiente e independiente,1,De 1501 a 2500,Windows,,Menos de 1 año,Menos de 1 año,Menos de 1 año,1 a 3 años,No conozco,Menos de 1 año,Play Framework (Java),Laravel (PHP),Symfony2 (PHP),,,,,,,Ruby on Rails,Sinatra (Ruby),1 a 3 años,1 a 3 años,No conozco,1 a 3 años,1 a 3 años,AngularJS,,,,,,,,jQuery,jQuery UI,,,,En la universidad o instituto,,,Documentación en la web,,,,,,,Webapps móviles (en general),2015-03-25 17:18:12,2015-03-25 17:21:09,a9862fba90
c75a3126c815287acb362f0ad5b9c2a8,Junín,Graduado de universidad,50 a más,Femenino,Trabajo como dependiente,1,De 5501 a más,Linux,,Más de 6 años,Más de 6 años,Más de 6 años,Más de 6 años,Más de 6 años,Más de 6 años,Play Framework (Java),Laravel (PHP),Symfony2 (PHP),,Bottle (Python),Django (Python),Flask (Python),webpy (Python),Cuba (Ruby),Ruby on Rails,Sinatra (Ruby),Más de 6 años,Más de 6 años,No conozco,Más de 6 años,Más de 6 años,AngularJS,backbone.js,backbone.js + chaplin.js,backbone.marionette.js,backbone.js + Thorax,D3.js,dojo,ember.js,jQuery,jQuery UI,React,Zepto.js,reatjs,En la universidad o instituto,Cursos de educación continua (fuera de los planes de estudio superiores),,,Seminarios web,"Cursos en plataformas MOOC (gratuitos, masivos y con evaluaciones)",,,,,Blackberry,2015-03-25 17:25:34,2015-03-25 17:28:41,fc41459dd7
2f2c7132a87c779a05265b9b868fd284,Moquegua,Graduado de instituto,31 - 40 años,Masculino,Trabajo como independiente,1,Menos de 1500 nuevos soles,Windows,,No conozco,Más de 6 años,Más de 6 años,Más de 6 años,No conozco,No conozco,,Laravel (PHP),Symfony2 (PHP),,,,,,,,,Más de 6 años,Más de 6 años,Más de 6 años,Más de 6 años,Más de 6 años,,,,,,,,ember.js,jQuery,jQuery UI,,,,En la universidad o instituto,,,,,,,,,,Webapps móviles (en general),2015-03-25 17:26:25,2015-03-25 17:37:45,1a40513d0c
461d79c46bb740734f4170ecf9214f49,Lima,Estudiante en instituto,24 - 30 años,Masculino,Trabajo como independiente,1,De 4501 a 5500,Windows,,Menos de 1 año,Menos de 1 año,Menos de 1 año,1 a 3 años,1 a 3 años,Menos de 1 año,,Laravel (PHP),Symfony2 (PHP),,,Django (Python),,,,Ruby on Rails,,1 a 3 años,4 a 6 años,Menos de 1 año,Más de 6 años,1 a 3 años,AngularJS,backbone.js,,,,D3.js,dojo,ember.js,jQuery,jQuery UI,,Zepto.js,,,,,Documentación en la web,,,"Cursos en línea, en plataformas de pago",,Comunidades locales de desarrolladores,,Webapps móviles (en general),2015-03-25 17:48:06,2015-03-25 17:51:57,6c589be55b
05c940b878f9103cb928208926bee8a1,Lima,Escolar,31 - 40 años,Masculino,Trabajo como dependiente e independiente,1,De 4501 a 5500,Linux,,No conozco,No conozco,No conozco,4 a 6 años,1 a 3 años,No conozco,,Laravel (PHP),Symfony2 (PHP),,,Django (Python),Flask (Python),,,,,1 a 3 años,4 a 6 años,No conozco,4 a 6 años,4 a 6 años,AngularJS,,,,,,,ember.js,jQuery,,,,,,,"Libros, revistas y otras publicaciones impresas",Documentación en la web,Seminarios web,,,En grupos de amigos o compañeros de trabajo,,,Webapps móviles (en general),2015-03-25 18:15:51,2015-03-25 18:18:36,38ce6af07e
68a8caf783ba03b24b0dff999cd75e85,Lima,Estudiante en universidad,24 - 30 años,Masculino,Trabajo como independiente,1,De 2501 a 3500,Linux,,No conozco,Menos de 1 año,Menos de 1 año,Menos de 1 año,4 a 6 años,Menos de 1 año,,,,,,Django (Python),Flask (Python),webpy (Python),,,,1 a 3 años,Más de 6 años,No conozco,Más de 6 años,Más de 6 años,AngularJS,,,,,,,,jQuery,jQuery UI,React,,,,,,Documentación en la web,,,,,,,Webapps móviles (en general),2015-03-25 19:10:36,2015-03-25 19:13:52,fbf7afc700
cb1a839ffa34f3010d88552b253c8a83,Lima,Estudiante en universidad,24 - 30 años,Masculino,No trabajo actualmente,0,Menos de 1500 nuevos soles,Linux,,Menos de 1 año,Menos de 1 año,Menos de 1 año,Menos de 1 año,Menos de 1 año,Menos de 1 año,,Laravel (PHP),Symfony2 (PHP),,,Django (Python),,,,,,Menos de 1 año,1 a 3 años,Menos de 1 año,1 a 3 años,Menos de 1 año,AngularJS,,,,,,,,jQuery,jQuery UI,,,,En la universidad o instituto,,,Documentación en la web,Seminarios web,,,,,,Android,2015-03-25 19:15:52,2015-03-25 19:19:53,3c882ae867
b3ff49d92a1881dc4b505931df7b5953,Lima,Graduado de universidad,24 - 30 años,Masculino,Trabajo como dependiente e independiente,1,De 3501 a 4500,Linux,,Menos de 1 año,1 a 3 años,Menos de 1 año,4 a 6 años,4 a 6 años,1 a 3 años,Play Framework (Java),Laravel (PHP),Symfony2 (PHP),,Bottle (Python),Django (Python),Flask (Python),webpy (Python),,Ruby on Rails,,4 a 6 años,4 a 6 años,Menos de 1 año,4 a 6 años,4 a 6 años,AngularJS,backbone.js,,,,,dojo,,jQuery,jQuery UI,,,,En la universidad o instituto,,,Documentación en la web,,"Cursos en plataformas MOOC (gratuitos, masivos y con evaluaciones)",,,,,Android,2015-03-25 20:39:21,2015-03-25 20:42:28,6c524369bb
ced09e298d131c5c62a4c536a3d38faf,Lima,Estudiante en universidad,24 - 30 años,Masculino,Trabajo como dependiente,0,De 2501 a 3500,Windows,,1 a 3 años,Menos de 1 año,Menos de 1 año,Más de 6 años,No conozco,No conozco,,Laravel (PHP),,,,,,,,,,Más de 6 años,Más de 6 años,Más de 6 años,Más de 6 años,Más de 6 años,,,,,,,,,jQuery,jQuery UI,,,,,Cursos de educación continua (fuera de los planes de estudio superiores),"Libros, revistas y otras publicaciones impresas",Documentación en la web,Seminarios web,"Cursos en plataformas MOOC (gratuitos, masivos y con evaluaciones)",,En grupos de amigos o compañeros de trabajo,,,Webapps móviles (en general),2015-03-25 21:09:19,2015-03-25 21:19:51,9de574cfdc
a9b097ccbf8b84fd34842ec160d4eabd,Cusco,Graduado de instituto,24 - 30 años,Masculino,Trabajo como dependiente,1,De 1501 a 2500,Mac,,Menos de 1 año,Menos de 1 año,Menos de 1 año,Más de 6 años,1 a 3 años,1 a 3 años,,Laravel (PHP),Symfony2 (PHP),,,,,,,,,Más de 6 años,Más de 6 años,4 a 6 años,Más de 6 años,Más de 6 años,AngularJS,backbone.js,,,,,,,jQuery,jQuery UI,,,,,,,Documentación en la web,,,,,,,iOS,2015-03-25 21:23:58,2015-03-25 21:27:09,549c111849
